,Cosine
0,0.9999999999999996
1,0.023953523863486613
2,0.11543378034903969
3,0.1747240423071354
4,0.08913445545814089
5,0.028312456170333407
6,0.04738788258528854
7,0.07909769224291537
8,0.09142758491211035
9,0.12321601452253603
10,0.05031397374918683
11,0.23933228141055474
12,0.2317134200396578
13,0.06449412174755557
14,0.05741352802664677
15,0.15190690582621905
16,0.05737705005288293
17,0.006593321719167793
18,0.09754324813296932
19,0.06529114502614865
20,0.029184818148727608
21,0.07678998874474148
22,0.12344303834742801
23,0.029582690906517897
24,0.0634314909858842
25,0.22320782652437118
26,0.020936553318947348
27,0.01795507322431313
28,0.02557578607771481
29,0.014457805327837449
30,0.06911313124489102
31,0.043172886822689105
32,0.05495919329868889
33,0.05215320546576469
34,0.029744027517883014
35,0.1024987841493047
36,0.06290626088065526
37,0.01931998961744037
38,0.05766874595078688
39,0.013895759392062324
40,0.07058284851893087
41,0.044391022400150984
42,0.05067466430845052
43,0.04782214161680438
44,0.03371391103045377
45,0.0284908242897658
46,0.07262063638503026
47,0.1960536280018909
48,0.0010072297805647575
49,0.07901996057125356
50,0.000981292370742754
51,0.10004478057620585
52,0.1687154849170966
53,0.07539340142521168
54,0.052355841548505214
55,0.03338305570635422
56,0.17189598467744832
57,0.054732093187893315
58,0.19551465531599127
59,0.07199451804655119
60,0.09223326796818201
61,0.10179326266784854
62,0.021643230039137904
63,0.17650120128900423
64,0.09257022781373313
65,0.193759937949135
66,0.03593490896168738
67,0.034532466567884695
68,0.12411426992391529
69,0.04952348391867417
70,0.0037332604608003666
71,0.1960536280018909
72,0.009802743877947427
73,0.020936553318947348
74,0.15514071095658558
75,0.07846270541099887
76,0.15718437055340653
77,0.08892286816027671
78,0.114731457242355
79,0.17731455212646785
80,0.09352677663929138
81,0.10293193239484284
82,0.01689095812046908
83,0.042793603972155994
84,0.058081441387585864
85,0.17742861649416494
86,0.16440966915373642
87,0.08246108175527347
88,0.10571219569153532
89,0.039721712571804554
90,0.011984591727746081
91,0.02636591226499775
92,0.07481255402724969
93,0.07112291496057888
94,0.058516268326811845
95,0.04857027202506247
96,0.022383505370603574
97,0.09308424678803756
98,0.014612560729871509
99,0.19810721293758182
100,0.1710832331518758
101,0.1710832331518758
102,0.014239987129004657
103,0.12326914827645198
104,0.03727608411984708
105,0.12695874658833686
106,0.007252129311132202
107,0.016267724835243982
108,0.07636416365945926
109,0.2680293947186381
110,0.1316155105761726
111,0.07083774455628711
112,0.08678004996576966
113,0.08657038611395358
114,0.07678998874474148
115,0.0150052752815552
116,0.039365142868754574
117,0.0339062065227497
118,0.028918404301252355
119,0.030409499773180197
120,0.00979968386729758
121,0.07488089953467293
122,0.06742033370307246
123,0.05301298208648974
124,0.022534293526241034
125,0.06036807125607932
126,0.03754282743257655
127,0.12261585358662469
128,0.029864322947332995
129,0.07380765578577526
130,0.04334813378439854
131,0.049416621110740085
132,0.2272753947466519
133,0.04984571704621493
134,0.10511137029974302
135,0.04771641159383762
136,0.06923518126273503
137,0.011555000358259179
138,0.09251032671433425
139,0.3291379133941843
140,0.016550046696737757
141,0.14965624161407387
142,0.010444603090271395
143,0.017612625637211627
144,0.19344967363308313
145,0.014569853237868616
146,0.11758596088622893
147,0.03376463925185297
148,0.019395586004821986
149,0.06980786011525004
150,0.11546213101478844
151,0.20814377992361774
