,feature_names,feature_weights
0,iud,3.40640920234616
1,contracept,2.621054280455167
2,birth,2.1811867687992232
3,ca,1.8036239429964742
4,condom,1.76571112204547
5,women,1.6468539383368168
6,pid,1.6359150388948007
7,use,1.5768760107116988
8,control,1.523118348428665
9,shot,1.4508600973571901
10,locat,1.3221016219930164
11,implant,1.1857755479370033
12,ste,1.1825882818424815
13,method,1.1380991236187135
14,proxi,1.131629116441104
15,larc,1.104827192085941
16,bleed,1.0812746080823947
17,diaphragm,1.0767472320210834
18,devic,1.0356583775472932
19,pregnanc,1.034519855394647
20,insert,1.0005302206449787
21,hormon,0.9805339983584079
22,intrauterin,0.9690115590220718
23,offic,0.8996019194229798
24,newslett,0.8945244759397142
25,nlearn,0.8879851702594473
26,provera,0.8818132555241243
27,symptom,0.8733996253759062
28,xe,0.8486142660165429
29,uteru,0.8414472284381971
30,biopsi,0.8398463362587901
31,militari,0.8191293962074369
32,pill,0.8113419532191581
33,ga,0.798248716228119
34,server,0.7921599609896317
35,paragard,0.7803356775884434
36,covid,0.7585657343561747
37,pelvic,0.7439697758611975
38,problem,0.7295436563777467
39,inform,0.7213579369858181
40,period,0.7164461346541775
41,femal,0.7059441136338271
42,educ,0.700905872422448
43,steril,0.694323639035084
44,effect,0.6941995954131241
45,mirena,0.6915053823135138
46,risk,0.6799919814040062
47,nback,0.6794116665345581
48,xa,0.6778621978260131
49,arthriti,0.6722829249707776
50,circumcis,0.6719272682965233
51,cancer,0.6519252808266389
52,ok,0.6473136855859012
53,member,0.6439277425748963
54,mec,0.639796026586491
55,npatient,0.6260624633912358
56,melatonin,0.6200556640952766
57,ncheck,0.6191541360549087
58,greater,0.5984340764314806
59,letter,0.5917265063470099
60,treatment,0.5879957603485381
61,uterin,0.5869908070699572
62,york,0.5855423297488779
63,pregnant,0.5824894014237836
64,blood,0.5772792117330402
65,child,0.5766151499049349
66,woman,0.5544183342242778
67,action,0.5494602589343662
68,corticosteroid,0.549418151883916
69,labyrinth,0.5393293099890607
70,syndrom,0.5376345378217247
71,nmirena,0.5362608201903781
72,colposcopi,0.5337881733695734
73,autopsi,0.5277252147923338
74,gift,0.5260914710338274
75,depo,0.5247059069008979
76,compart,0.52387147732369
77,research,0.5234096654240022
78,bv,0.5231027313655414
79,menstrual,0.5199996755133415
80,websiteiud,0.5192474347427033
81,prediabet,0.5139728798959847
82,neuropathi,0.5103029491404126
83,network,0.501715390769062
84,sex,0.49897345986823727
85,increas,0.49675000951146603
86,badg,0.49126997048795523
87,care,0.49015796615902635
88,tube,0.48928071762443004
89,rd,0.48437162566116243
90,coronaviru,0.48358255939778194
91,ndepo,0.480319013840351
92,amp,0.47722818138671663
93,tubal,0.4768259247470617
94,directori,0.4701963952012969
95,nfree,0.4686018218412062
96,housecal,0.4684008759916751
97,nstart,0.4676212779425455
98,nappendix,0.4647947391219811
99,diseas,0.46355799977119894
100,form,0.46280030652677656
101,cdc,0.4627194707643292
102,string,0.46221453940242546
103,vaccin,0.46148328195621613
104,american,0.4607541508385978
105,vagina,0.45904734240488093
106,thyroid,0.4568290739506579
107,spur,0.455847122483254
108,pdf,0.45507334013816286
109,tumor,0.4531966651670975
110,xae,0.44880615390382056
111,mayo,0.44395448080208566
112,program,0.44385789371672996
113,spr,0.43480048765928236
114,sexual,0.4347801835740165
115,fallopian,0.43474867243756155
